Connection Info,Device ID,Timestamp,Log Entry
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:09:05,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:24:06,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:24:08,[ESC]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:24:08,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:25:43,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:09,ntetst[ENTER]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:11,test[ENTER]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:11,[ENTER]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:11,[ENTER]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:11,[ENTER]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:13,ets[ENTER]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:15,[BACKSPAC[ENTER]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:22,eeee[DOWN][DOWN][DOWN][UP][UP][UP][UP][UP][RIGHT][DOWN][DOWN][DOWN][DOWN][DOWN][DOWN][DOWN][ENTER]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:26,[DELETE][DELETE][DELETE][DELETE][ENTER]
[Connection from 127.0.0.1 at 2025-12-30 20:37:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-30 20:26:27,[ESC]
